snapshot_date,team_code,team_name_ko,rank,games,wins,losses,draws,win_rate,games_behind,winning_streak,batting_avg,era,recent_games,source,status,evidence_type,collected_at,content
2026-09-07,SAMSUNG,삼성,1,121,72,46,3,0.610,0.0,2승,0.280,4.12,7승-2패-1무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[대구 삼성 라이온즈 파크 · 삼성 라이온즈] snapshot_date: 2026-09-07 / team_code: SAMSUNG / team_name_ko: 삼성 / rank: 1 / games: 121 / wins: 72 / losses: 46 / draws: 3 / win_rate: 0.610 / games_behind: 0.0 / winning_streak: 2승 / batting_avg: 0.280 / era: 4.12 / recent_games: 7승-2패-1무
2026-09-07,KT,KT,2,118,69,46,3,0.600,1.5,3패,0.279,4.40,5승-5패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[수원 KT 위즈 파크 · KT 위즈] snapshot_date: 2026-09-07 / team_code: KT / team_name_ko: KT / rank: 2 / games: 118 / wins: 69 / losses: 46 / draws: 3 / win_rate: 0.600 / games_behind: 1.5 / winning_streak: 3패 / batting_avg: 0.279 / era: 4.40 / recent_games: 5승-5패-0무
2026-09-07,LG,LG,3,122,68,53,1,0.562,5.5,2패,0.266,4.82,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[잠실야구장 · LG 트윈스] snapshot_date: 2026-09-07 / team_code: LG / team_name_ko: LG / rank: 3 / games: 122 / wins: 68 / losses: 53 / draws: 1 / win_rate: 0.562 / games_behind: 5.5 / winning_streak: 2패 / batting_avg: 0.266 / era: 4.82 / recent_games: 7승-3패-0무
2026-09-07,KIA,KIA,4,120,66,52,2,0.559,6.0,3승,0.272,4.38,6승-4패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[광주-KIA 챔피언스 필드 · KIA 타이거즈] snapshot_date: 2026-09-07 / team_code: KIA / team_name_ko: KIA / rank: 4 / games: 120 / wins: 66 / losses: 52 / draws: 2 / win_rate: 0.559 / games_behind: 6.0 / winning_streak: 3승 / batting_avg: 0.272 / era: 4.38 / recent_games: 6승-4패-0무
2026-09-07,DOOSAN,두산,5,123,62,57,4,0.521,10.5,1승,0.267,3.67,3승-7패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[잠실야구장 · 두산 베어스] snapshot_date: 2026-09-07 / team_code: DOOSAN / team_name_ko: 두산 / rank: 5 / games: 123 / wins: 62 / losses: 57 / draws: 4 / win_rate: 0.521 / games_behind: 10.5 / winning_streak: 1승 / batting_avg: 0.267 / era: 3.67 / recent_games: 3승-7패-0무
2026-09-07,NC,NC,6,116,55,59,2,0.482,15.0,1패,0.273,4.67,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[창원 NC 파크 · NC 다이노스] snapshot_date: 2026-09-07 / team_code: NC / team_name_ko: NC / rank: 6 / games: 116 / wins: 55 / losses: 59 / draws: 2 / win_rate: 0.482 / games_behind: 15.0 / winning_streak: 1패 / batting_avg: 0.273 / era: 4.67 / recent_games: 7승-3패-0무
2026-09-07,HANWHA,한화,7,120,52,65,3,0.444,19.5,3승,0.276,5.16,3승-7패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[대전 한화생명 볼파크 · 한화 이글스] snapshot_date: 2026-09-07 / team_code: HANWHA / team_name_ko: 한화 / rank: 7 / games: 120 / wins: 52 / losses: 65 / draws: 3 / win_rate: 0.444 / games_behind: 19.5 / winning_streak: 3승 / batting_avg: 0.276 / era: 5.16 / recent_games: 3승-7패-0무
2026-09-07,SSG,SSG,8,124,52,67,5,0.437,20.5,1패,0.261,5.38,7승-3패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[인천 SSG 랜더스필드 · SSG 랜더스] snapshot_date: 2026-09-07 / team_code: SSG / team_name_ko: SSG / rank: 8 / games: 124 / wins: 52 / losses: 67 / draws: 5 / win_rate: 0.437 / games_behind: 20.5 / winning_streak: 1패 / batting_avg: 0.261 / era: 5.38 / recent_games: 7승-3패-0무
2026-09-07,LOTTE,롯데,9,119,51,66,2,0.436,20.5,3패,0.268,4.78,1승-9패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[사직야구장 · 롯데 자이언츠] snapshot_date: 2026-09-07 / team_code: LOTTE / team_name_ko: 롯데 / rank: 9 / games: 119 / wins: 51 / losses: 66 / draws: 2 / win_rate: 0.436 / games_behind: 20.5 / winning_streak: 3패 / batting_avg: 0.268 / era: 4.78 / recent_games: 1승-9패-0무
2026-09-07,KIWOOM,키움,10,127,44,80,3,0.355,31.0,1승,0.243,5.31,2승-8패-0무,https://gw.tving.com/bff/sports/v2/kbo/history/team?yearSeason=2026&gameSeason=0&screenCode=CSSD0100&osCode=CSOD0900,CONFIRMED,THIRD_PARTY_API,2026-09-07 13:48:07,[고척스카이돔 · 키움 히어로즈] snapshot_date: 2026-09-07 / team_code: KIWOOM / team_name_ko: 키움 / rank: 10 / games: 127 / wins: 44 / losses: 80 / draws: 3 / win_rate: 0.355 / games_behind: 31.0 / winning_streak: 1승 / batting_avg: 0.243 / era: 5.31 / recent_games: 2승-8패-0무
